iter	MultiClassOneVsAll
652	0.167438113
653	0.1674223114
654	0.1674085785
655	0.1673885257
656	0.1673704142
657	0.1673534381
658	0.1673392688
659	0.1673310741
660	0.1673082974
661	0.1672879668
662	0.1672796959
663	0.1672601707
664	0.167248565
665	0.167231703
666	0.1672068559
667	0.1671892151
668	0.1671783769
669	0.1671615245
670	0.167156377
671	0.1671420098
672	0.1671249674
673	0.167118511
674	0.16710447
675	0.1670844496
676	0.1670704622
677	0.1670535812
678	0.167045112
679	0.1670229547
680	0.1670103653
681	0.1669967611
682	0.1669740137
683	0.16695639
684	0.166946399
685	0.1669302603
686	0.1669142849
687	0.1668963154
688	0.1668841113
689	0.1668746486
690	0.1668505875
691	0.1668362692
692	0.1668207445
693	0.1668125456
694	0.1668001123
695	0.1667850455
696	0.1667624227
697	0.1667553922
698	0.1667419643
699	0.1667258552
700	0.1667046716
701	0.1666872681
702	0.1666763314
703	0.1666623972
704	0.166652314
705	0.1666382094
706	0.1666326734
707	0.1666085577
708	0.1665981997
709	0.1665925414
710	0.1665692096
711	0.1665623642
712	0.1665480611
713	0.1665415188
714	0.1665316292
715	0.1665264483
716	0.1665124176
717	0.1665040138
718	0.1664976044
719	0.1664885864
720	0.166473744
721	0.1664547465
722	0.1664515598
723	0.1664356116
724	0.1664306506
725	0.1664242114
726	0.1664067767
727	0.166394105
728	0.1663775376
729	0.166354173
730	0.1663429045
731	0.1663338969
732	0.1663232305
733	0.1663142208
734	0.1663006223
735	0.1662924735
736	0.1662779867
737	0.1662675083
738	0.1662535012
739	0.1662434685
740	0.1662201528
741	0.1662112922
742	0.1661957308
743	0.1661865412
744	0.1661730323
745	0.1661628233
746	0.1661516978
747	0.1661385671
748	0.1661284866
749	0.166112045
750	0.1661002382
751	0.1660921182
752	0.1660841685
753	0.1660719932
754	0.166053324
755	0.1660445727
756	0.1660291638
757	0.1660251012
758	0.1660208576
759	0.1660137771
760	0.1660000558
761	0.1659897556
762	0.1659767129
763	0.1659700236
764	0.1659606585
765	0.1659482184
766	0.165939245
767	0.1659298427
768	0.1659245145
769	0.1659173819
770	0.1659093221
771	0.1658942066
772	0.1658806402
773	0.1658723648
774	0.165852551
775	0.1658393411
776	0.1658288783
777	0.1658224086
778	0.1658088472
779	0.1657977448
780	0.1657892963
781	0.1657749225
782	0.1657594978
783	0.1657519422
784	0.1657428442
785	0.165722978
786	0.1657174267
787	0.1656993093
788	0.1656944901
789	0.1656798861
790	0.1656643871
791	0.1656542544
792	0.1656315436
793	0.1656194886
794	0.1655960458
795	0.1655809885
796	0.1655717067
797	0.1655561833
798	0.1655401469
799	0.1655292684
800	0.1655144412
801	0.1655011461
802	0.165493114
803	0.1654771393
804	0.1654670118
805	0.1654587522
806	0.1654456623
807	0.1654312513
808	0.1654215519
809	0.1654062341
810	0.1653966874
811	0.1653834204
812	0.1653704029
813	0.1653651419
814	0.165357327
815	0.1653495957
816	0.1653315161
817	0.1653229733
818	0.1653177544
819	0.1653030082
820	0.1652859981
821	0.1652799258
822	0.1652720065
823	0.1652599653
824	0.1652462459
825	0.1652354409
826	0.1652299502
827	0.1652226828
828	0.1652155546
829	0.1652018823
830	0.1651885908
831	0.1651723414
832	0.1651686403
833	0.1651572283
834	0.1651477505
835	0.165134896
836	0.165124065
837	0.1651162267
838	0.1651056283
839	0.1650919793
840	0.1650775642
841	0.1650644172
842	0.1650564944
843	0.1650448377
844	0.1650391599
845	0.1650319431
846	0.1650167624
847	0.1650031862
848	0.1649887299
849	0.1649732588
850	0.164965671
851	0.1649601036
852	0.1649529872
853	0.1649407197
854	0.164929012
855	0.1649240981
856	0.164914369
857	0.1649070048
858	0.1648911313
859	0.1648815511
860	0.1648762974
861	0.1648652025
862	0.1648538031
863	0.1648468659
864	0.1648361658
865	0.1648294226
866	0.1648097208
867	0.1647964067
868	0.1647820595
869	0.1647776672
870	0.1647693817
871	0.1647543506
872	0.1647435266
873	0.1647348732
874	0.1647222437
875	0.1647131949
876	0.1647051879
877	0.1646934373
878	0.1646866857
879	0.1646746034
880	0.1646632656
881	0.1646477968
882	0.1646273116
883	0.1646189832
884	0.1646095601
885	0.164598387
886	0.1645845977
887	0.1645803057
888	0.1645715985
889	0.1645639228
890	0.1645526269
891	0.1645405932
892	0.1645316409
893	0.1645203894
894	0.1645131613
895	0.1645001715
896	0.1644924247
